t_ms,Vc_V,ic_mA
16.308154,1.67412080,0.33258792
16.408204,1.68242926,0.33175707
16.508254,1.69071697,0.33092830
16.608304,1.69898397,0.33010160
16.708354,1.70723032,0.32927697
16.808404,1.71545607,0.32845439
16.908454,1.72366127,0.32763387
17.008504,1.73184598,0.32681540
17.108554,1.74001024,0.32599898
17.208604,1.74815410,0.32518459
17.308654,1.75627762,0.32437224
17.408704,1.76438084,0.32356192
17.508754,1.77246382,0.32275362
17.608804,1.78052661,0.32194734
17.708854,1.78856926,0.32114307
17.808904,1.79659181,0.32034082
17.908954,1.80459433,0.31954057
18.009005,1.81257685,0.31874231
18.109055,1.82053943,0.31794606
18.209105,1.82848212,0.31715179
18.309155,1.83640497,0.31635950
18.409205,1.84430803,0.31556920
18.509255,1.85219134,0.31478087
18.609305,1.86005496,0.31399450
18.709355,1.86789894,0.31321011
18.809405,1.87572332,0.31242767
18.909455,1.88352815,0.31164718
19.009505,1.89131349,0.31086865
19.109555,1.89907938,0.31009206
19.209605,1.90682586,0.30931741
19.309655,1.91455300,0.30854470
19.409705,1.92226083,0.30777392
19.509755,1.92994941,0.30700506
19.609805,1.93761878,0.30623812
19.709855,1.94526899,0.30547310
19.809905,1.95290009,0.30470999
19.909955,1.96051213,0.30394879
20.010005,1.96810515,0.30318949
20.110055,1.97567920,0.30243208
20.210105,1.98323433,0.30167657
20.310155,1.99077059,0.30092294
20.410205,1.99828802,0.30017120
20.510255,2.00578668,0.29942133
20.610305,2.01326659,0.29867334
20.710355,2.02072783,0.29792722
20.810405,2.02817042,0.29718296
20.910455,2.03559442,0.29644056
21.010505,2.04299988,0.29570001
21.110555,2.05038684,0.29496132
21.210605,2.05775534,0.29422447
21.310655,2.06510544,0.29348946
21.410705,2.07243717,0.29275628
21.510755,2.07975059,0.29202494
21.610805,2.08704574,0.29129543
21.710855,2.09432266,0.29056773
21.810905,2.10158141,0.28984186
21.910955,2.10882202,0.28911780
22.011006,2.11604454,0.28839555
22.111056,2.12324902,0.28767510
22.211106,2.13043551,0.28695645
22.311156,2.13760404,0.28623960
22.411206,2.14475466,0.28552453
22.511256,2.15188742,0.28481126
22.611306,2.15900236,0.28409976
22.711356,2.16609953,0.28339005
22.811406,2.17317897,0.28268210
22.911456,2.18024072,0.28197593
23.011506,2.18728483,0.28127152
23.111556,2.19431135,0.28056887
23.211606,2.20132031,0.27986797
23.311656,2.20831176,0.27916882
23.411706,2.21528575,0.27847143
23.511756,2.22224231,0.27777577
23.611806,2.22918150,0.27708185
23.711856,2.23610335,0.27638967
23.811906,2.24300791,0.27569921
23.911956,2.24989522,0.27501048
24.012006,2.25676533,0.27432347
24.112056,2.26361827,0.27363817
24.212106,2.27045409,0.27295459
24.312156,2.27727284,0.27227272
24.412206,2.28407455,0.27159254
24.512256,2.29085927,0.27091407
24.612306,2.29762705,0.27023730
24.712356,2.30437791,0.26956221
24.812406,2.31111191,0.26888881
24.912456,2.31782909,0.26821709
25.012506,2.32452949,0.26754705
25.112556,2.33121315,0.26687868
25.212606,2.33788011,0.26621199
25.312656,2.34453042,0.26554696
25.412706,2.35116412,0.26488359
25.512756,2.35778124,0.26422188
25.612806,2.36438183,0.26356182
25.712856,2.37096594,0.26290341
25.812906,2.37753359,0.26224664
25.912956,2.38408484,0.26159152
26.013007,2.39061973,0.26093803
26.113057,2.39713829,0.26028617
26.213107,2.40364056,0.25963594
26.313157,2.41012659,0.25898734
26.413207,2.41659642,0.25834036
26.513257,2.42305008,0.25769499
26.613307,2.42948763,0.25705124
26.713357,2.43590909,0.25640909
26.813407,2.44231451,0.25576855
26.913457,2.44870393,0.25512961
27.013507,2.45507738,0.25449226
27.113557,2.46143492,0.25385651
27.213607,2.46777657,0.25322234
27.313657,2.47410238,0.25258976
27.413707,2.48041239,0.25195876
27.513757,2.48670664,0.25132934
27.613807,2.49298516,0.25070148
27.713857,2.49924799,0.25007520
27.813907,2.50549518,0.24945048
27.913957,2.51172677,0.24882732
28.014007,2.51794279,0.24820572
28.114057,2.52414328,0.24758567
28.214107,2.53032828,0.24696717
28.314157,2.53649783,0.24635022
28.414207,2.54265196,0.24573480
28.514257,2.54879073,0.24512093
28.614307,2.55491415,0.24450858
28.714357,2.56102228,0.24389777
28.814407,2.56711515,0.24328848
28.914457,2.57319281,0.24268072
29.014507,2.57925527,0.24207447
29.114557,2.58530260,0.24146974
29.214607,2.59133481,0.24086652
29.314657,2.59735196,0.24026480
29.414707,2.60335408,0.23966459
29.514757,2.60934120,0.23906588
29.614807,2.61531336,0.23846866
29.714857,2.62127061,0.23787294
29.814907,2.62721297,0.23727870
29.914957,2.63314049,0.23668595
30.015008,2.63905320,0.23609468
30.115058,2.64495114,0.23550489
30.215108,2.65083435,0.23491657
30.315158,2.65670286,0.23432971
30.415208,2.66255671,0.23374433
30.515258,2.66839593,0.23316041
30.615308,2.67422057,0.23257794
